genus	genome_size
Muribaculum	3306457
Muricauda	4750728
Muriicola	3067493
Musicola	4679450
Mycetocola	3286416
Mycetohabitans	3584374
Mycoavidus	2288620
Mycobacterium	4777245
Mycobacteroides	5105313
Mycolicibacillus	4045962
Mycolicibacter	4615591
Mycolicibacterium	6157374
Mycoplasma	1069777
Mycoplasmoides	1046820
Mycoplasmopsis	1064626
Myroides	3884410
Myxococcus	9436697
Naasia	3391135
Nakamurella	4954168
Nakaseomyces	12714934
Nanchangia	1907497
Nannocystis	13228663
Natranaeroarchaeum	3041127
Natranaerobius	3203074
Natranaerofaba	3264732
Natrarchaeobaculum	3857764
Natrialba	4443643
Natrialbaceae	3358102
Natribaculum	4611642
Natrinema	4589781
Natronobacterium	3788356
Natronobeatus	4208668
Natronococcus	4741947
Natronoglycomyces	4012379
Natronomonas	3377726
Natrononativus	3986100
Natronorubrum	4188897
Natronosalvus	4091218
Natronosporangium	5699854
Nautilia	1733772
Ndongobacter	1864878
Neisseria	2238883
Neoasaia	3407860
Neobacillus	5533707
Neochlamydia	2817974
Neoehrlichia	1236503
Neokomagataea	2577002
Neomicrococcus	2667837
Neopusillimonas	3284569
Neorhizobium	5942181
Neotabrizicola	4392453
Neptuniibacter	4113600
Neptunomonas	3828736
Nesterenkonia	2695715
Nguyenibacter	4294433
Niabella	5289421
Niallia	5315345
Niastella	9033684
Nibribacter	4352178
Nibricoccus	4730447
Nicoliella	2053587
Nisaea	4746001
Nitratidesulfovibrio	3872671
Nitratifractor	2101285
Nitratireductor	4314568
Nitratiruptor	1869553
Nitrincola	4172991
Nitrobacter	4206807
Nitrogeniibacter	4490835
Nitrosarchaeum	1720730
Nitrosococcus	3765824
Nitrosomonas	3444281
Nitrosophilus	1890142
Nitrosopumilus	1737784
Nitrososphaera	2523868
Nitrosospira	3335709
Nitrospina	3011914
Nitrospira	4478871
Nitrospirillum	7382386
Niveibacterium	5013134
Niveispirillum	6048780
Nocardia	7913932
Nocardioides	4376672
Nocardiopsis	6724668
Nodularia	5419142
Nonlabens	3185541
Nonomuraea	10858485
Nordella	7184314
Nosocomiicoccus	1636288
Nostoc	7974510
Nostocoides	3482451
Novacetimonas	3527674
Novibacillus	3629225
Noviherbaspirillum	4718988
Novisyntrophococcus	3420321
Novosphingobium	4950785
Novosphingopyxis	3191507
Obesumbacterium	5011796
Occallatibacter	6794547
Occultella	5648255
Oceanicaulis	2992841
Oceanicoccus	4472079
Oceanicola	4053612
Oceanidesulfovibrio	4761435
Oceanihabitans	3475698
Oceanimonas	3559825
Oceaniradius	3664187
Oceanirhabdus	5775129
Oceanisphaera	3370335
Oceanispirochaeta	4012482
Oceanithermus	2439291
Oceanobacillus	4509938
Oceanotoga	2841299
Ochrobactrum	5645291
Octadecabacter	4289842
Odoribacter	4392232
Oecophyllibacter	1945529
Oenococcus	1845661
Oerskovia	4357994
Ogataea	8980874
Okeanomitos	5323117
Oleidesulfovibrio	3730232
Oleiphilus	6379281
Oligella	2641563
Olivibacter	6270157
Olleya	3909809
Olsenella	2480739
Opitutus	5957605
Oricola	3998539
Orientia	2191021
Ornithinibacillus	3837796
Ornithinimicrobium	3828798
Ornithobacterium	2385639
Orrella	3959714
Oryzisolibacter	3842277
Oryzomicrobium	3526415
Oscillatoria	8038262
Oscillibacter	3320462
Ostreococcus	13204888
Otariodibacter	2019124
Ottowia	3689803
Owenweeksia	4000057
Oxalobacter	2392643
Oxynema	6357750
Pacificitalea	3956796
Paenacidovorax	4679990
Paenalcaligenes	2725648
Paenalkalicoccus	4040495
Paenarthrobacter	4679085
Paenibacillus	6481019
Paeniglutamicibacter	4173408
Paenimyroides	2961016
Paenisporosarcina	3379629
Palaeococcus	1859370
Palleronia	3606601
Paludibacter	3685504
Paludibacterium	3930973
Paludibaculum	9532094
Paludicola	2937905
Paludisphaera	7651896
Panacibacter	5528026
Pandoraea	5558949
Pandoravirus	1991057
Pannonibacter	5600178
Pantoea	4903404
Parabacteroides	5232188
Paraburkholderia	8517059
Parachlamydia	3072383
Paracholeplasma	1877792
Paracidovorax	5196119
Paraclostridium	3607700
Paracoccus	4160544
Paraconexibacter	5457055
Paracrocinitomix	4365762
Paradevosia	4629545
Paraflavitalea	8493263
Parafrankia	8982042
Parageobacillus	3811532
Paraglaciecola	5182881
Paralcaligenes	4450628
Paraliobacillus	3728451
Paralysiella	2905699
Paramagnetospirillum	4967148
Paramicrobacterium	3622339
Paramixta	4705628
Paramuribaculum	3056428
Paraneptunicella	4913533
Paraoerskovia	3516604
Paraphotobacterium	2593992
Paraprevotella	4080155
Pararhizobium	5438500
Pararhodospirillum	3876289
Pararoseomonas	5592142
Parasaccharibacter	2012854
Parascardovia	1890857
Parasedimentitalea	5043407
Parashewanella	4845470
Parasphaerochaeta	2227296
Parasphingopyxis	3316607
Parasphingorhabdus	3481133
Parasynechococcus	2434428
Paraurantiacibacter	2591679
Parazoarcus	4729507
Paremcibacter	4189011
Paroceanicella	5468583
Parolsenella	1796691
Parvibaculum	3914745
Parvicella	3980026
Parvimonas	1657480
Parvularcula	3134932
Pasteurella	2356259
Paucibacter	5344102
Paucilactobacillus	2321698
Pectinatus	2881049
Pectobacterium	4901539
Pediococcus	1982504
Pedobacter	5839097
Pelagerythrobacter	3039155
Pelagibacterium	3958675
Pelagovum	3565580
Pelistega	2326689
Pelobacter	4241119
Pelodictyon	2691540
Pelolinea	3519887
Pelosinus	5248113
Pengzhenrongella	4395128
Peptacetobacter	2528297
Peptoclostridium	3055036
Peptoniphilus	1823954
Peptostreptococcus	1995029
Peredibacter	4153408
Peribacillus	5526935
Periweissella	3020651
Permianibacter	4266648
Persephonella	1983966
Persicimonas	8047206
Persicobacter	6148614
Peterkaempfera	7959842
Peteryoungia	4370591
Petrimonas	3717632
Petrocella	3518882
Petroclostridium	5512510
Petrotoga	2169548
Phaeobacter	4300501
Phascolarctobacterium	2451065
Phenylobacterium	4283605
Phnomibacter	4372196
Phocaeicola	5242455
Phoenicibacter	1447956
Phormidium	5542925
Photobacterium	4872323
Photorhabdus	5509957
Phototrophicus	5631885
Phreatobacter	5924558
Phycicoccus	3655241
Phycisphaera	3884382
Phyllobacterium	5437927
Phytobacter	5962513
Phytohabitans	9877861
Pichia	11188022
Picochlorum	8915819
Picosynechococcus	3357977
Picrophilus	1545895
Pigmentibacter	3654982
Pigmentiphaga	6018578
Pikeienuella	4373045
Pimelobacter	6056634
Pirellula	6365167
Pirellulimonas	6618662
Piscinibacter	6345623
Piscirickettsia	3500328
Pistricoccus	3781193
Planctellipticum	7276092
Planctobacterium	4872183
Planctomyces	7613716
Planctopirus	5337073
Planktomarina	3288122
Planktothricoides	7215835
Planktothrix	5182795
Planococcus	3602579
Plantactinospora	7803514
Plantibacter	4196562
Pleionea	4422012
Pleomorphomonas	5476363
Plesiomonas	3755598
Pleurocapsa	5208178
Pluralibacter	5435281
Pneumocystis	7303369
Polaribacter	3732445
Polaromonas	4913777
Pollutimonas	3700113
Polyangium	12320079
Polycladomyces	3197230
Polymorphobacter	4844875
Polymorphospora	8365212
Polymorphum	4718963
Polynucleobacter	1920059
Polystyrenella	6125480
Pontibacillus	4286409
Pontibacter	5329591
Pontibrevibacter	3575444
Ponticoccus	5091427
Pontimicrobium	3438245
Pontimonas	1760810
Pontivivens	4199362
Porifericola	5487627
Poriferisphaera	4291168
Porphyrobacter	3455043
Porphyromonas	2394764
Poseidonibacter	3217550
Powai	1208707
Pradoshia	3934149
Pragia	4066666
Prauserella	6986413
Prescottella	5254068
Prevotella	3132067
Priestia	5405370
Prochlorococcus	1880220
Prodigiosinella	4971756
Profundibacter	3558757
Promethearchaeum	4324194
Promicromonospora	5224924
Propionibacterium	2664367
Propioniciclava	3644053
Propionimicrobium	3289007
Prosthecochloris	2612456
Protaetiibacter	2871269
Proteiniborus	3881360
Proteiniclasticum	3691162
Proteiniphilum	4160841
Proteinivorax	2962422
Proteus	4105867
Providencia	4569638
Prymnesium	1421182
Pseudactinotalea	3652490
Pseudalgibacter	3994770
Pseudalkalibacillus	4195415
Pseudanabaena	5129179
Pseudarthrobacter	4604533
Pseudazoarcus	3225512
Pseudemcibacter	3369470
Pseudescherichia	4653761
Pseudidiomarina	2704554
Pseudoalteromonas	4736455
Pseudobacter	7797595
Pseudobdellovibrio	2657893
Pseudobutyrivibrio	3584491
Pseudochrobactrum	3868465
Pseudocitrobacter	5015040
Pseudoclavibacter	2009013
Pseudocnuella	4804510
Pseudodesulfovibrio	3854431
Pseudoduganella	6750018
Pseudofrankia	8815781
Pseudogemmatithrix	3259071
Pseudoglutamicibacter	2148950
Pseudogulbenkiania	4332995
Pseudohongiella	3345119
Pseudolabrys	4517519
Pseudoleptotrichia	2290729
Pseudolysobacter	4728975
Pseudomonas	6426963
Pseudonocardia	7087758
Pseudooceanicola	4249417
Pseudopedobacter	4635236
Pseudophaeobacter	5049099
Pseudoprevotella	2920169
Pseudorhizobium	4663241
Pseudorhodobacter	4246983
Pseudorhodoplanes	5971615
Pseudoroseicyclus	3472838
Pseudoroseomonas	4625450
Pseudosulfitobacter	4904565
Pseudothauera	3059321
Pseudothermotoga	2135145
Pseudoxanthomonas	3913890
Psychrobacillus	4121453
Psychrobacter	3190105
Psychroflexus	3438877
Psychromicrobium	3599434
Psychromonas	3734264
Psychroserpens	4174419
Psychrosphaera	3190796
Pukyongia	3182272
Pukyongiella	4262966
Pullulanibacillus	4801000
Pulveribacter	3358427
Pusillibacter	3407680
Pusillimonas	3558354
Pyramidobacter	2740975
Pyrobaculum	2069502
Pyrococcus	1834134
Pyrodictium	2124027
Pyrofollis	2005174
Pyrolobus	1843267
Pyruvatibacter	3333914
Qiania	3084832
Qingshengfaniella	3928515
Qipengyuania	3002571
Quatrionicoccus	4171110
Radiobacillus	3823582
Rahnella	5431858
Raineyella	3748377
Ralstonia	5610044
Ramlibacter	4484344
Raoultella	5862136
Raoultibacter	4016761
Rasiella	3388965
Rathayibacter	3490183
Reichenbachiella	4643444
Reinekea	3660060
Renibacterium	3155270
Rheinheimera	3928781
Rhizobium	6895618
Rhizorhabdus	5314091
Rhizosphaericola	4701441
Rhodanobacter	4008634
Rhodobacter	3923644
Rhodococcoides	5344550
Rhodococcus	6571400
Rhodocytophaga	8983451
Rhodoferax	4680792
Rhodoligotrophos	4813108
Rhodoluna	1393737
Rhodomicrobium	3877068
Rhodophyticola	3882560
Rhodopirellula	7218496
Rhodoplanes	8193889
Rhodopseudomonas	5502444
Rhodospirillum	4380332
Rhodothermus	3397948
Rhodovastum	7423543
Rhodovulum	4295131
Richelia	5729487
Rickettsia	1331052
Rickettsiales	1738386
Rickettsiella	1721936
Riemerella	2251622
Rippkaea	4787694
Rivularia	8728773
Robbsia	6574329
Robiginitalea	3530383
Rodentibacter	2552185
Romboutsia	3116687
Roseateles	5948152
Roseburia	3791721
Roseibacterium	3555109
Roseibium	6656182
Roseicitreum	4253095
Roseicyclus	3552491
Roseiflexus	5762448
Roseimaritima	7714552
Roseimicrobium	7957748
Roseinatronobacter	4172632
Roseitalea	3539672
Roseivirga	4479953
Roseivivax	4278012
Roseobacter	4440525
Roseococcus	4208010
Roseomonas	5105629
Roseovarius	4247806
Rosistilla	7250512
Rossellomorea	4493323
Rothia	2457323
Rouxiella	5025966
Ruania	4345556
Rubellicoccus	5798774
Rubinisphaera	6006602
Rubripirellula	8542491
Rubrivivax	5043253
Rubrobacter	3599832
Ruegeria	4379220
Rufibacter	4792666
Ruficoccus	3759138
Rugamonas	6763819
Rugosibacter	2934611
Ruicaihuangia	2610157
Ruminiclostridium	4638087
Ruminococcus	3039817
Rummeliibacillus	3332399
Runella	7231880
Ruoffia	2363336
Ruthenibacterium	4419852
Saccharibacillus	5619468
Saccharobesus	5871129
Saccharolobus	2778819
Saccharomonospora	4511000
Saccharomyces	11512671
Saccharomycopsis	14148124
Saccharophagus	5117956
Saccharopolyspora	7776710
Saccharospirillum	3686911
Saccharothrix	9512799
Sagittula	5518966
Salaquimonas	3357577
Salarchaeum	2431326
Salegentibacter	3947165
Salicibibacter	3930866
Salidesulfovibrio	3886744
Salimicrobium	2741307
Salinarchaeum	2955969
Salinibacter	3739938
Salinibacterium	3005445
Salinibaculum	3860670
Salinicoccus	2698161
Salinicola	4405261
Salinigranum	4939762
Salinilacihabitans	3622565
Salinimicrobium	3606320
Salinimonas	4122118
Saliniradius	3214946
Salinirubellus	4852143
Salinisphaera	4141708
Salinispira	3782798
Salinispirillum	3469599
Salinispora	5183331
Salinivibrio	3531586
Salinivirga	4812386
Salipaludibacillus	4525667
Salipiger	5578581
Salisediminibacterium	3582268
Salmonella	4911860
Samba	1181380
Sandaracinobacteroides	3364212
Sandaracinus	10645566
Sanguibacter	3973587
Sanyastnella	4097636
Saprospira	4314223
Sarcina	2641856
Saxibacter	4048523
Scandinavium	4713964
Scardovia	1797862
Schaalia	2307407
Schizosaccharomyces	11416521
Schlegelella	3348564
Schleiferilactobacillus	3369101
Schlesneria	7067087
Scrofimicrobium	2221980
Sebaldella	4486650
Secundilactobacillus	3205243
Sedimentibacter	3259696
Sedimenticola	3962284
Sedimentisphaera	3071952
Sediminibacillus	4100703
Sediminibacterium	3096065
Sediminicoccus	5024808
Sediminicola	3569807
Sediminispirochaeta	4653970
Segatella	3615138
Segniliparus	3157527
Selenobaculum	2679003
Selenomonas	2638492
Sellimonas	3200718
Seohaeicola	4275009
Seonamhaeicola	3610312
Serinicoccus	3489205
Serpentinimonas	2598624
Serratia	5263407
Shewanella	4878392
Shigella	4891613
Shimwellia	4155243
Shinella	5861159
Shouchella	4206618
Siansivirga	3303986
Siccibacter	4133577
Sideroxyarcus	2738141
Sideroxydans	3388256
Silicimonas	4351658
Silvimonas	4508233
Simiaoa	3572951
Simiduia	4132138
Siminovitchia	4277599
Simkania	2628375
Simonsiella	2476128
Simplicispira	4154448
Sinanaerobacter	3370808
Singulisphaera	9755686
Sinimarinibacterium	3200809
Sinomicrobium	5364211
Sinomonas	4398476
Sinorhizobium	6909617
Skermanella	7259824
Skermania	4230116
Slackia	3165598
Sneathia	1319250
Sneathiella	4004533
Snodgrassella	2403942
Sodaliphilus	3340670
Sodalis	4365934
Solibacillus	3963296
Solibaculum	2541474
Solidesulfovibrio	5002244
Solimonas	5373342
Solitalea	5202069
Solobacterium	2615268
Sorangium	13798185
Spartinivicinus	6687090
Sphaerobacter	3993764
Sphaerochaeta	3487407
Sphaerotilus	5244505
Sphingobacterium	5381824
Sphingobacteruim	4322926
Sphingobium	5015869
Sphingomonas	3879637
Sphingopyxis	4414884
Sphingorhabdus	3407188
Sphingosinicella	4880592
Sphingosinithalassobacter	3526818
Spiractinospora	5864354
Spiribacter	2333962
Spirillospora	8260921
Spirobacillus	2806830
Spirochaeta	2772907
Spiroplasma	1502740
Spirosoma	7295735
Spongiibacter	3758140
Sporolactobacillus	3274283
Sporomusa	5578673
Sporosarcina	3731173
Stackebrandtia	6841557
Stanieria	5544990
Staphylococcus	2769402
Staphylospora	2751094
Staphylothermus	1575416
Stappia	5116759
Starkeya	6286188
Stella	5832650
Stenotrophomonas	4619624
Steroidobacter	3467246
Stieleria	9719866
Stigmatella	10260756
Stomatobaculum	2151431
Streptacidiphilus	8501273
Streptantibioticus	8094034
Streptobacillus	1679604
Streptococcus	2035764
Streptomonospora	5814190
Streptomyces	8874547
Streptosporangium	9836551
Streptoverticillium	8809793
Stutzerimonas	4612989
Stygiolobus	2472739
Subdoligranulum	3244954
Subtercola	3766611
Succinivibrio	3159245
Suicoccus	2572159
Sulfidibacter	11786365
Sulfitobacter	3977902
Sulfobacillus	3094311
Sulfodiicoccus	2353189
Sulfolobus	2517532
Sulfuracidifex	2429257
Sulfuricaulis	2864672
Sulfuricella	3217213
Sulfuricurvum	2819357
Sulfuricystis	2774387
Sulfuriferula	3268270
Sulfuriflexus	3111340
Sulfurifustis	3958814
Sulfurihydrogenibium	1739659
Sulfurimicrobium	3826324
Sulfurimonas	2390549
Sulfuriroseicoccus	3496488
Sulfurisphaera	2689444
Sulfuritalea	3802648
Sulfuritortus	2720636
Sulfurivermis	3246214
Sulfurospirillum	2760002
Sulfurovum	2430784
Superficieibacter	4876439
Sutcliffiella	4709312
Sutterella	2913187
Suttonella	1989117
Swingsia	2193407
Symbiobacterium	3566135
Symbiopectobacterium	4942431
Symmachiella	7767809
Synechococcus	2727530
Synechocystis	3738233
Synoicihabitans	5926369
Syntrophobacter	4990251
Syntrophobotulus	3406739
Syntrophomonas	2936195
Syntrophotalea	3363470
Syntrophothermus	2405559
Syntrophus	3179300
Tabrizicola	4387422
Tamlana	3930892
Tannerella	3280751
Tannockella	2260890
Tardibacter	3787976
Tardiphaga	6250980
Tateyamaria	4315457
Tatumella	3946408
Taurinivorans	2172708
Taylorella	1675129
Telluria	7444617
Tellurirhabdus	5262164
Telmatobacter	5987865
Telmatocola	6592641
Temperatibacter	3184799
Tenacibaculum	3436618
Tenuifilum	3195778
Tepidanaerobacter	2760559
Tepidibacillus	2965063
Tepidibacter	3914171
Tepidiforma	2757467
Tepidimonas	2915587
Tepiditoga	2502404
Terasakiella	3832570
Teredinibacter	5110920
Termitidicoccus	7922482
Terrabacter	4628914
Terribacillus	3509056
Terricaulis	3864763
Terriglobus	5576222
Terrihabitans	3114641
Terrirubrum	6384545
Terrisporobacter	4101856
Tessaracoccus	3314839
Tetragenococcus	2534146
Thalassobaculum	5646840
Thalassococcus	5001896
Thalassolituus	3995949
Thalassomonas	7296733
Thalassospira	4650800
Thalassotalea	3939001
Thalassovita	3985688
Thauera	4264014
Thaumasiovibrio	5557717
Theileria	9712837
Thermacetogenium	2939057
Thermaerobacter	2926488
Thermanaerosceptrum	3805411
Thermanaerovibrio	1848474
Thermatribacter	2269744
Thermincola	3157416
Thermoactinomyces	2616768
Thermoanaerobacter	2538205
Thermoanaerobacterium	2769368
Thermobacillus	4355525
Thermobaculum	3101581
Thermobifida	4453146
Thermobispora	4288406
Thermocaproicibacter	1960795
Thermochromatium	2958290
Thermoclostridium	3031660
Thermococcus	1994378
Thermocoleostomius	5809202
Thermocrinis	1510807
Thermodesulfatator	2322224
Thermodesulfobacterium	1742767
Thermodesulfobium	1836829
Thermodesulfomicrobium	2357780
Thermodesulfovibrio	1919446
Thermofilum	1732457
Thermogladius	1356318
Thermogutta	4810751
Thermoleophilum	2112804
Thermoleptolyngbya	5507741
Thermomicrobium	2920744
Thermomonas	3076426
Thermomonospora	6219579
Thermophilibacter	2163714
Thermoplasma	1574855
Thermoproteus	1888802
Thermosediminibacter	2280035
Thermosipho	1896377
Thermosphaera	1310850
Thermospira	2515453
Thermostichus	2659739
Thermosulfidibacter	1816670
Thermosulfurimonas	1763258
Thermosulfuriphilus	2287345
Thermosynechococcus	2663504
Thermotoga	1882809
Thermotomaculum	2317141
Thermovibrio	1759526
Thermus	2254171
Thioalkalivibrio	3435610
Thiobacillus	2960395
Thiocapsa	5649927
Thioclava	4186964
Thiocystis	5017071
Thioflavicoccus	4137521
Thiohalobacter	3254122
Thiolapillus	3153637
Thiomicrorhabdus	2565166
Thiomicrospira	2326142
Thiomonas	3343428
Thiopseudomonas	2394495
Thiorhodovibrio	5454122
Thiosocius	4790451
Thiospirochaeta	3700583
Thiosulfatimonas	2722826
Thiosulfativibrio	2645427
Thiothrix	4103842
Thomasclavelia	3409999
Tichowtungia	3882676
Tissierella	3419699
Tistrella	6376847
Tolumonas	3471292
Tolypothrix	9668624
Tomitella	4183547
Torulaspora	9546460
Trabulsiella	4702252
Treponema	2583097
Trichlorobacter	3685690
Trichodesmium	7750108
Trichormus	7100882
Trichothermofontia	4436989
Trinickia	7251682
Tritonibacter	4404153
Tropicibacter	4147834
Truepera	3260416
Trueperella	2300223
Tsukamurella	4728270
Tsuneonella	3087409
Tumebacillus	4883366
Tunicatimonas	7291608
Turicibacter	2700765
Turneriella	4409302
Tuwongella	6690754
Undibacterium	5477762
Urbifossiella	7795793
Urechidicola	3426122
Ureibacillus	3220959
Uruburuella	2839554
Usitatibacter	4260976
Vaginimicrobium	2010679
Vagococcus	2310094
Vallitalea	5975778
Vandammella	3431938
Varibaculum	2211690
Variibacter	4586237
Variovorax	6870350
Varunaivibrio	3066297
Veillonella	2134373
Venatoribacter	2829133
Verminephrobacter	5597943
Verrucomicrobium	8220857
Verrucosispora	7278285
Vescimonas	2531083
Vibrio	5005684
Virgibacillus	4135680
Viridibacillus	4526142
Vitreoscilla	3197431
Vogesella	3889382
Vreelandella	4613162
Vulcanimicrobium	3508363
Vulcanisaeta	2368422
Vulgatibacter	4350553
Waddlia	2131905
Wansuia	3949724
Weeksella	2280043
Weissella	2087278
Weizmannia	3535564
Wenyingzhuangia	3427057
Wenzhouxiangella	3759949
Wielerella	2356854
Williamsia	4711874
Williamsoniiplasma	1031560
Winkia	2261938
Winogradskyella	4191093
Winslowiella	5014558
Woeseia	4059891
Wohlfahrtiimonas	2132017
Wolbachia	1428014
Wolinella	2130402
Wujia	2942917
Xanthobacter	6021586
Xanthomonas	5040813
Xenorhabdus	4367482
Xiamenia	2263463
Xiashengella	3101014
Xylanibacter	3529449
Xylanimonas	3846667
Xylella	2666982
Xylocopilactobacillus	2291795
Xylophilus	5500450
Yamadazyma	10831699
Yersinia	4567038
Yimella	3211201
Yinghuangia	8343587
Yokenella	5219152
Yoonia	4020726
Youhaiella	4430734
Zhaonella	3314304
Zhongshania	4204359
Zhouia	4040482
Zobellella	4187820
Zobellia	5234350
Zophobihabitans	2666483
Zunongwangia	4411217
Zygotorulaspora	10412516
Zymobacter	3028543
Zymomonas	2154130
endosymbiont	1826179
secondary	1281367
synthetic	3800036
unidentified	3212396
